Cuenta,Año,Valor,NIT
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,$271.692.115,Crepes & Waffles
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,0,Crepes & Waffles
Pasivos corrientes totales,2024,$271.692.115,Crepes & Waffles
Provisiones no corrientes por beneficios a los empleados,2024,0,Crepes & Waffles
Otras provisiones no corrientes,2024,0,Crepes & Waffles
Total provisiones no corrientes,2024,0,Crepes & Waffles
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2024,0,Crepes & Waffles
Pasivo por impuestos diferidos,2024,$76.341.820,Crepes & Waffles
"Pasivos por impuestos corrientes, no corriente",2024,0,Crepes & Waffles
Otros pasivos financieros no corrientes,2024,$131.534.348,Crepes & Waffles
Otros pasivos no financieros no corrientes,2024,0,Crepes & Waffles
Total de pasivos no corrientes,2024,$207.876.168,Crepes & Waffles
Total pasivos,2024,$479.568.283,Crepes & Waffles
Capital emitido,2024,$4.310.088,Crepes & Waffles
Prima de emisión,2024,0,Crepes & Waffles
Acciones propias en cartera,2024,0,Crepes & Waffles
Inversión suplementaria al capital asignado,2024,0,Crepes & Waffles
Otras participaciones en el patrimonio,2024,0,Crepes & Waffles
Superavit por revaluación,2024,$2.833.168,Crepes & Waffles
Otras reservas,2024,$17.179.414,Crepes & Waffles
Ganancias acumuladas,2024,$148.867.292,Crepes & Waffles
Patrimonio Total,2024,$173.189.962,Crepes & Waffles
Total de patrimonio y pasivos,2024,$652.758.245,Crepes & Waffles
Cuentas,2023,0,Crepes & Waffles
Efectivo y equivalentes al efectivo,2023,$31.947.912,Crepes & Waffles
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2023,$22.410.825,Crepes & Waffles
Inventarios corrientes,2023,$19.214.021,Crepes & Waffles
"Activos por impuestos corrientes, corriente",2023,$22.255.275,Crepes & Waffles
Activos biológicos corrientes,2023,0,Crepes & Waffles
Otros activos financieros corrientes,2023,$130.839.355,Crepes & Waffles
Otros activos no financieros corrientes,2023,0,Crepes & Waffles
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,0,Crepes & Waffles
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,$226.667.388,Crepes & Waffles
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,0,Crepes & Waffles
Activos corrientes totales,2023,$226.667.388,Crepes & Waffles
Propiedad de inversión,2023,0,Crepes & Waffles
"Propiedades, planta y equipo",2023,$243.869.220,Crepes & Waffles
Plusvalía,2023,0,Crepes & Waffles
Activos intangibles distintos de la plusvalía,2023,$197.967,Crepes & Waffles
Activos biológicos no corrientes,2023,0,Crepes & Waffles
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2023,0,Crepes & Waffles
Inventarios no corrientes,2023,0,Crepes & Waffles
Activos por impuestos diferidos,2023,$52.734.269,Crepes & Waffles
"Activos por impuestos corrientes, no corriente",2023,0,Crepes & Waffles
Otros activos financieros no corrientes,2023,0,Crepes & Waffles
Otros activos no financieros no corrientes,2023,0,Crepes & Waffles
